Title,RT_Critic,RT_Aud,IMDB
Toy Story 3,99,87,8.4
Up,98,87,8.3
Gravity,98,89,8.7
How to Train Your Dragon,98,89,8.1
Harry Potter and the Deathly Hallows Part 2,96,87,8.1
Marvel's The Avengers,92,90,8.2
Tangled,90,86,7.8
Life of Pi,87,85,8.1
Star Trek Into Darkness,87,90,7.9
Wreck-It Ralph,86,87,7.8
Puss in Boots,84,68,6.6
Avatar,83,84,7.9
Kung Fu Panda 2,81,74,7.3
Brave,81,83,8.4
Captain America: The First Avenger,79,72,6.8
Iron Man 3,79,81,7.4
Madagascar 3: Europe's Most Wanted,79,72,6.9
Monsters University,78,83,7.5
Thor,77,76,7
Despicable Me 2,75,85,7.7
Despicable Me,75,85,7.7
Prometheus,74,69,7.1
The Amazing Spider-Man,73,77,7.1
Megamind,73,71,7.2
Monsters Vs. Aliens,72,62,6.6
Rio,72,71,6.9
MIB 3,70,71,6.9
The Croods,69,80,7.3
World War Z,67,74,7.1
The Hobbit: An Unexpected Journey,65,82,8.1
Oz The Great and Powerful,59,58,6.5
Shrek Forever After,57,58,6.4
Man of Steel,56,76,7.6
The Polar Express,56,62,6.5
A Christmas Carol,54,61,6.7
Dr. Seuss' The Lorax,54,64,6.3
Tron Legacy,52,63,6.8
Alice in Wonderland,51,60,6.5
The Great Gatsby,49,69,7.3
Hotel Transylvania,45,72,7
Ice Age: Dawn of the Dinosaurs,45,69,7
Cars 2,39,52,6.3
The Wolverine,38,67,6.7
Ice Age: Continental Drift,37,62,6.6
Chicken Little,36,53,5.8
Transformers: Dark of the Moon,36,61,6.3
Pirates of the Caribbean: On Stranger Tides,33,58,6.6
Clash of the Titans,28,43,5.8
The Smurfs,22,45,5.3
The Last Airbender,6,36,4.4
